Item Number,Reference Designator,Manufacturer,Description,Manufacturer Part Number,Qty,Instructions
1,"LED3, LED4",Lite-On,LED GREEN CLEAR CHIP SMD,LTST-C171GKT,2,
2,"LED1, LED2",Lite-On,LED RED CLEAR SMD,LTST-C171KRKT,2,
3,"R1, R3, R4, R11, R13, R17, R18, R20, R25, R26, R29, R30, R34, R42, R43",Panasonic,RES SMD 10.0K OHM 1% 1/8W 0805,ERJ-6ENF1002V,15,
4,"C2, C3, C5, C11, C12, C13, C14, C15, C16, C17, C20, C23",AVX,CAP CER 0.1UF 25V X7R 0805,08053C104KAT2A,12,
5,J6,Molex,CONN HEADER VERT 5POS 2.5MM,1053091305,1,
6,J7,Molex,CONN HEADER R/A 8POS 2.5MM,1053141208,1,
7,C9,Kemet,CAP CER 10000PF 50V X7R 0805,C0805C103K5RACTU,1,
8,"C1, C4, C10, C22",Samsung,CAP CER 10UF 25V X7R 1206,CL31B106KAHZW6E,4,
9,"R21, R22, R24",Panasonic,RES SMD 130 OHM 1% 1/8W 0805,ERJ-6ENF1300V,3,
10,"D2, D6",ON Semiconductor,DIODE ZENER 3.3V 3W SMB,1SMB5913BT3G,2,
11,"R14, R23, R27, R31, R32, R33",Panasonic,RES SMD 1K OHM 1% 1/8W 0805,ERJ-6ENF1001V,6,
12,C8,Kemet,CAP CER 1UF 25V X7R 1206,C1206C105K3RACTU,1,
13,C18,Kemet,CAP TANT 1UF 10% 16V 1206,T491A105K016AT,1,
14,"R5, R6, R7, R8, R12, R15, R16, R37, R38, R39",Bourns Inc.,RES SMD 2 OHM 5% 2W 2512,CRM2512-JW-2R0ELF,10,"Purchase, DNI"
15,R28,Panasonic,RES SMD 2.00K OHM 1% 1/8W 0805,ERJ-6ENF2001V,1,
16,"R35, R36",Panasonic,RES SMD 220 OHM 1% 1/8W 0805,ERJ-6ENF2200V,2,
17,"C19, C21",Kemet,CAP CER 22PF 50V C0G/NP0 0805,C0805C220K5GACTU,2,
18,"R2, R10, R40, R41",Panasonic,RES SMD 80.6K OHM 1% 1/8W 0805,ERJ-6ENF8062V,4,
19,"R9, R19",Panasonic,RES SMD 820 OHM 1% 1/8W 0805,ERJ-6ENF8200V,2,
20,U8,Atmel,IC MCU 32BIT 256KB FLASH 48TQFP,ATSAMD21G18A-AUT,1,
21,U6,Atmel,IC MCU 8BIT 8KB FLASH 8SOIC,ATTINY85V-10SU,1,
22,SV1,Amphenol,CONN HEADER 6POS .100 STR TIN,67996-406HLF,1,
23,"D3, D5",ON Semiconductor,DIODE SCHOTTKY 30V 200MA SOD323,BAT54HT1G,2,
24,"Q2, Q3, Q5",Infineon,PWR SW HI-SIDE 1CH TO252-5,   BTS500601TEAAUMA2,3,
25,U10,U-Blox America Inc.,RF RCVR GNSS/GPS 1.575GHZ MODULE,CAM-M8C-0,1,
26,"D1, D4",COMCHIP,DIODE SCHOTTKY 40V 3A DO214AC,CDBA340L-G,2,
27,LS1,CUI Devices,AUDIO MAGNETIC IND 8-16V TH,CEM-1212C,1,
28,"J1, J3",Molex,CONN HEADER R/A 2POS 2.5MM,1053131102,2,
29,PB1,C&G,SWITCH PUSH SPST-NO 0.4VA 28V,FP11SPA1B1TP03,1,
30,U4,Linear Technology,IC REG LIN 3.3V 100MA TSOT23-5,LT1761IS5-3.3#TRMPBF,1,
31,U2,Linear Technology/Analog Devices,IC CTLR ON/OFF PUSHBUTT TSOT23-8,LTC2955ITS8-2#TRMPBF,1,
32,X3,Epson,CRYSTAL 32.7680 KHZ 12.5PF SMD,MC-146 32.7680KA-A0:ROHS,1,
33,U5,Microchip Technology,SENSOR ANALOG -40C-125C SOT23-3,MCP9700T-E/TT,1,
34,U7,NXP,IC ALTIMETER I2C VERSION 8LGA,MPL3115A2,1,
35,U9,Newhaven,2X16 WHITE SLIM CHARACTER OLED,NHD-0216CW-AW3,1,"Purchase, DNI"
36,U1,RECOM,DC DC CONVERTER 3.3V 3W,R-783.3-0.5,1,
37,J5,Switchcraft Inc.,CONN JACK STEREO 6.35MM R/A,RN114BPC,1,
38,Q4,Rohm,MOSFET N-CH 30V 2A TSMT6,RTQ020N03TR,1,
39,"J2, J4",JST Sales America Inc.,CONN HEADER SMD R/A 4POS 2.5MM,S4B-XH-SM4-TB(LF)(SN),2,"Purchase, DNI"
40,SV2,Amphenol,CONN HEADER 8POS .100 STR TIN,67996-408HLF,1,
41,T2,On Semi,TRANS NPN 45V 0.5A SOT-23,SBC817-40LT1G,1,
42,"Q1, Q6",Vishay Siliconix,MOSFET P-CH 30V 5A SOT-23,SI2347DS-T1-GE3,2,
43,X4,Hirose,CONN RCPT USB MICRO B 2.0 5P SMD,ZX62D-B-5PA8(30),1,
